球队,日期,主客,对阵主队,比分,对阵客队,结果,赛事
Paris Saint Germain,2025-05-31,主,Paris Saint Germain,5:0,Inter,胜,UEFA Champions League
Paris Saint Germain,2025-05-24,主,Paris Saint Germain,3:0,Reims,胜,Coupe de France
Paris Saint Germain,2025-05-17,主,Paris Saint Germain,3:1,Auxerre,胜,Ligue 1
Paris Saint Germain,2025-05-10,客,Montpellier,1:4,Paris Saint Germain,胜,Ligue 1
Paris Saint Germain,2025-05-07,主,Paris Saint Germain,2:1,Arsenal,胜,UEFA Champions League
Liverpool,2025-05-25,主,Liverpool,1:1,Crystal Palace,平,Premier League
Liverpool,2025-05-19,客,Brighton,3:2,Liverpool,负,Premier League
Liverpool,2025-05-11,主,Liverpool,2:2,Arsenal,平,Premier League
Liverpool,2025-05-04,客,Chelsea,3:1,Liverpool,负,Premier League
Liverpool,2025-04-27,主,Liverpool,5:1,Tottenham,胜,Premier League
